NAME OF COMPANY,SYMBOL,SECTOR
EVEXIA LIFECARE LIMITED,EVEXIA,Fast Moving Consumer Goods
Evoq Remedies Limited,EVOQ,Services
Excel Realty N Infra Limited,EXCEL,Services
"Excell Industries Ltd.,",EXCELINDUS,Chemicals
"Exide Industries Ltd.,",EXIDEIND,Automobile and Auto Components
EXPLEO SOLUTIONS LIMITED,EXPLEOSOL,Information Technology
Explicit Finance Limited,EXPLICITFIN,Services
Expo Gas Containers Ltd.,EXPOGAS,Capital Goods
Exxaro Tiles Limited,EXXARO,Consumer Durables
F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,FMEC,Financial Services
Fabino Life Sciences Limited,FABINO,Healthcare
FACOR Alloys Limited,FACORALL,Metals & Mining
Fairchem Organics Limited,FAIRCHEMOR,Chemicals
FAZE THREE AUTOFAB LIMITED,FAZE3AUTO,Textiles
Faze Three Ltd.,FAZE3Q,Textiles
FCS Software Solutions Ltd.,FCSSOFT,Information Technology
FDC Ltd.,FDC,Healthcare
Federal Bank Ltd.,FEDERALBNK,Financial Services
Federal-Mogul Goetze (India) Ltd,FMGOETZE,Automobile and Auto Components
FERMENTA BIOTECH LIMITED,FERMENTA,Healthcare
Fertilizers and Chemicals Travancore Limited,FACT,Chemicals
Fervent Synergies Limited,FERVENTSYN,Services
FGP Ltd,FGP,Financial Services
FIBERWEB (INDIA) LTD.,FIBERWEB,Textiles
FIEM INDUSTRIES LIMITED,FIEMIND,Automobile and Auto Components
Filatex Fashions Ltd,FILATFASH,Textiles
Filatex India Ltd.,FILATEX,Textiles
Filtra Consultants and Engineers Limited,FILTRA,Utilities
Fine Organic Industries Limited,FINEORG,Chemicals
Fine-line Circuits Ltd.,FINELINE,Information Technology
Fineotex Chemical Limited,FCL,Chemicals
Finkurve Financial Services Limited,FINKURVE,Financial Services
Fino Payments Bank Limited,FINOPB,Financial Services
"Finolex Cables Ltd.,",FINCABLES,Capital Goods
Finolex Industries Ltd.,FINOLEXIND,Capital Goods
"First Custodian Fund (India) Ltd.,",1STCUS,Financial Services
FIRST FINTEC LIMITED,FIRSTFIN,Information Technology
Firstsource Solutions Ltd.,FSL,Information Technology
Fischer Chemic Ltd.,FISCHER,Chemicals
"Flex Foods Ltd.,",FLEXFO,Fast Moving Consumer Goods
FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF,Textiles
FLOMIC GLOBAL LOGISTICS LIMITED,FLOMIC,Services
Flora Textiles Ltd.,FLORATX,Textiles
"Fluidomat Ltd.,",FLUIDOM,Capital Goods
Focus Business Solution Limited,FOCUS,Information Technology
Fone4 Communications (India) Limited,FONE4,Consumer Services
Foods & Inns Ltd.,FOODSIN,Fast Moving Consumer Goods
Forbes & Company Ltd,FORBESCO,Consumer Durables
Force Motors Limited,FORCEMOT,Automobile and Auto Components
Fortis Healthcare Ltd,FORTIS,Healthcare
Fortis Malar Hospitals Limited,FORTISMLR,Healthcare
Fortune International Ltd.,FORINTL,Services
Foseco India Ltd,FOSECOIND,Chemicals
Franklin Industries Limited,FRANKLININD,Services
Franklin Leasing and Finance Limited,FRANKLIN,Financial Services
Fraser And Company Limited,FRASER,Services
Fredun Pharmaceuticals Limited,FREDUN,Healthcare
Freshtrop Fruits Ltd.,FRSHTRP,Fast Moving Consumer Goods
Frontier Capital Limited,FRONTCAP,Services
Frontier Springs Ltd.,FRONTSP,Automobile and Auto Components
Frontline Corporation Limited,FRONTCORP,Services
Fruition Venture Limited,FRUTION,Services
FSN E-Commerce Ventures Limited,NYKAA,Consumer Services
FUNDVISER CAPITAL (INDIA) LIMITED,FUNDVISER,Financial Services
Future Consumer Limited,FCONSUMER,Consumer Services
Future Enterprises Limited,FEL,Consumer Services
Future Enterprises Limited,FELDVR,Consumer Services
Future Lifestyle Fashions Limited,FLFL,Consumer Services
Future Market Networks Limited,FMNL,Services
Future Retail Ltd.,FRETAIL,Consumer Services
Future Supply Chain Solutions Limited,FSC,Services
Futuristic Securities Ltd,FUTURSEC,Financial Services
Futuristic Solutions Ltd.,FUTSOL,Financial Services
G G Engineering Limited,GGENG,Capital Goods
G M Polyplast Limited,GMPL,Capital Goods
G N A Axles Limited,GNA,Automobile and Auto Components
G R Infraprojects Limited,GRINFRA,Construction
G. K. P. Printing & Packaging Limited,GKP,Capital Goods
"G.D. Trading & Agencies Ltd.,",GDTRAGN,Financial Services
"G.G. Dandekar Machine Works Ltd.,",GGDANDE,Capital Goods
G.G.Automotive Gears Ltd.,GGAUTO,Automobile and Auto Components
G.k.Consultants Ltd.,GKCONS,Financial Services
G.M. Breweries Ltd.,GMBREW,Fast Moving Consumer Goods
"G.S. Auto International Ltd.,",GSAUTO,Automobile and Auto Components
"G.V. Films  Ltd.,",GVFILM,"Media, Entertainment & Publication"
Gabriel India Ltd.,GABRIEL,Automobile and Auto Components
"Gaekwar Mills Ltd.,",ZGAEKWAR,Textiles
Gagan Gases Ltd.,GAGAN,"Oil, Gas & Consumable Fuels"
Gagan Polycot India Ltd.,GAGANPO,Services
Gail (India) Ltd.,GAIL,"Oil, Gas & Consumable Fuels"
Gajanan Securities Services Ltd.,GAJANANSEC,Financial Services
Gala Global Products Limited,GGPL,Fast Moving Consumer Goods
Galactico Corporate Services Limited,GALACTICO,Diversified
Galada Finance Limited,GALADAFIN,Financial Services
Galaxy Agrico Exports Ltd.,GALAGEX,Capital Goods
Galaxy Bearings Ltd.,GALXBRG,Capital Goods
GALAXY CLOUD KITCHENS LIMITED,GCKL,Fast Moving Consumer Goods
Galaxy Surfactants Limited,GALAXYSURF,Chemicals
Gallantt Metal Limited,GALLANTT,Capital Goods
Gallops Enterprise  Limited,GALLOPENT,Realty
"Gandhi Special Tubes Ltd.,",GANDHITUBE,Capital Goods
"Ganesh Benzoplast Ltd.,",GANESHBE,"Oil, Gas & Consumable Fuels"
Ganesh Films India Limited,GFIL,Consumer Services
"Ganesh Holding Ltd.,",GANHOLD,Services
Ganesh Housing Corporation Ltd.,GANESHHOUC,Realty
Ganesha Ecosphere Limited,GANECOS,Textiles
Ganga Papers India Ltd,GANGAPA,Forest Materials
Ganga Pharmaceuticals Limited,GANGAPHARM,Healthcare
Ganges Securities Ltd.,GANGESSEC,Financial Services
Ganon Products Limited,GANONPRO,Services
Garbi Finvest Limited,GARBIFIN,Financial Services
Garden Reach Shipbuilders & Engineers Limited,GRSE,Capital Goods
Garg Furnace Ltd.,GARGFUR,Capital Goods
GARMENT MANTRA LIFESTYLE LIMITED,GARMNTMNTR,Textiles
"Garnet Construction Ltd.,",GARNET,Construction
Garnet International Limited,GARNETINT,Financial Services
Garodia Chemicals Ltd.,GARODCH,Services
GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,Capital Goods
"Garware Marine Industries Ltd.,",GARWAMAR,Textiles
Garware Synthetics Ltd.,GARWSYN,Services
GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES,Textiles
Gateway Distriparks Limited,GATEWAY,Services
Gati Limited,GATI,Services
Gautam Exim Limited,GEL,Services
Gautam Gems Limited,GGL,Consumer Durables
Gayatri BioOrganics Ltd,GAYATRIBI,Chemicals
GAYATRI HIGHWAYS LTD,GAYAHWS,Construction
Gayatri Projects Limited,GAYAPROJ,Construction
Gayatri Sugars Ltd.,GAYATRI,Fast Moving Consumer Goods
GCM Capital Advisors Limited,GCMCAPI,Financial Services
GCM Commodity & Derivatives Limited,GCMCOMM,Financial Services
GCM Securities Limited,GCMSECU,Financial Services
GDL Leasing & Finance ltd.,GDLLEAS,Financial Services
GE Power India Limited,GEPIL,Capital Goods
GE T&D India Limited,GET&D,Capital Goods
GEE Ltd.,GEE,Capital Goods
GeeCee Ventures Limited,GEECEE,Realty
Gem Spinners India Ltd,GEMSPIN,Textiles
Gemstone Investments Ltd.,GEMSI,Services
GENERA AGRI CORP LTD,GENERAAGRI,Fast Moving Consumer Goods
General Insurance Corporation of India,GICRE,Financial Services
Generic Engineering Construction and Projects Limited,GENCON,Realty
GENESIS IBRC INDIA LIMITED,GENESIS,Healthcare
Genesys International Corporation Ltd.,GENESYS,Information Technology
Gennex Laboratories Ltd,GENNEX,Healthcare
GENOMIC VALLEY BIOTECH LIMITED,GVBL,Healthcare
GENPHARMASEC LIMITED,GENPHARMA,Services
Gensol Engineering Limited,GENSOL,Services
GENUS PAPER & BOARDS LIMITED,GENUSPAPER,Forest Materials
Genus Power Infrastructures Ltd,GENUSPOWER,Capital Goods
GENUS PRIME INFRA LIMITED,GENUSPRIME,Chemicals
Geojit Financial Services Limited,GEOJITFSL,Financial Services
Getalong Enterprise Limited,GETALONG,Textiles
GFL LIMITED,GFLLIMITED,Financial Services
GHCL Ltd.,GHCL,Chemicals
Gian Life Care Limited,GIANLIFE,Healthcare
GIC Housing Finance Ltd.,GICHSGFIN,Financial Services
Gilada Finance & Investments Ltd.,GILADAFINS,Financial Services
Gillanders Arbuthnot & Co. Ltd.,GILLANDERS,Textiles
Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods
Gini Silk Mills Ltd.,GINISILK,Services
Ginni Filaments Ltd.,GINNIFILA,Textiles
GITA RENEWABLE ENERGY LIMITED,GITARENEW,Power
GKB Ophthalmics Ltd.,GKB,Healthcare
Glance Finance Ltd.,GLANCE,Financial Services
Gland Pharma Limited,GLAND,Healthcare
GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare
Glenmark Life Sciences Limited,GLS,Healthcare
Glenmark Pharmaceuticals ltd,GLENMARK,Healthcare
Glittek Granites Ltd.,GLITTEKG,Construction Materials
Global Capital Markets Ltd.,GLOBALCA,Financial Services
Global Longlife Hospital and Research Limited,GLHRL,Healthcare
Global Offshore Services Ltd,GLOBOFFS,Services
Global Vectra Helicorp Ltd.,GLOBALVECT,Services
GlobalSpace Technologies Limited,GSTL,Information Technology
Globe Commercials Limited,GLCL,Services
Globus Constructors & Developers Limited,GLOBUSCON,Power
Globus Spirits Limited,GLOBUSSPR,Fast Moving Consumer Goods
Gloster Ltd,GLOSTERLTD,Forest Materials
GMM Pfaudler Ltd.,GMM,Capital Goods
GMR Infrastructure Limited,GMRINFRA,Services
GMR Power and Urban Infra Limited,GMRP&UI,Construction
Go Fashion (India) Limited,GOCOLORS,Consumer Services
"Goa Carbon Ltd.,",GOACARBON,Metals & Mining
GOBLIN INDIA LIMITED,GOBLIN,Consumer Durables
GOCL Corporation Limited,GOCLCORP,Chemicals
Godavari Drugs Ltd.,GODAVARI,Healthcare
GODAWARI POWER AND ISPAT LTD.,GPIL,Capital Goods
"Godfrey Phillips India Ltd.,",GODFRYPHLP,Fast Moving Consumer Goods
Godrej Agrovet Limited,GODREJAGRO,Fast Moving Consumer Goods
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods
Godrej Industries Ltd.,GODREJIND,Fast Moving Consumer Goods
Godrej Properties Limited,GODREJPROP,Realty
Goenka Business & Finance Limited,GBFL,Financial Services
Goenka Diamond & Jewels Ltd,GOENKA,Consumer Durables
Gogia Capital Services Limited,GOGIACAP,Financial Services
Gokaldas Exports Ltd,GOKEX,Textiles
Gokul Agro Resources Ltd,GOKULAGRO,Fast Moving Consumer Goods
Gokul Refoils and Solvent Limited,GOKUL,Fast Moving Consumer Goods
Gold Line International Finvest Limited,GOLDLINE,Financial Services
"Gold Rock Investments Ltd.,",ZGOLDINV,Services
GoldCoin Health Foods Limited,GOLDCOINHF,Fast Moving Consumer Goods
Goldcrest Corporation Limited,GOLDCORP,Realty
Golden Carpets Limited.,GOLCA,Consumer Durables
Golden Crest Education & Services Limited,GOLDENCREST,Consumer Services
Golden Tobacco Ltd.,GOLDENTOBC,Realty
Goldiam International Ltd.,GOLDIAM,Consumer Durables
Goldstone Technologies Ltd.,GOLDTECH,Information Technology
Golechha Global Finance Ltd.,GOLECHA,Services
Golkonda Aluminium Extrusions Ltd,GOLKONDA,Metals & Mining
Golkunda Diamonds & Jewellery Ltd.,GOLKUNDIA,Consumer Durables
Goodluck India Limited,GOODLUCK,Capital Goods
"Goodricke Group Ltd.,",GOODRICKE,Fast Moving Consumer Goods
"Goodyear India Ltd.,",GOODYEAR,Automobile and Auto Components
Gopal Iron & Steels Co.(Gujarat) Lt,GOPAIST,Capital Goods
Gorani Industries Ltd.,GORANIN,Consumer Durables
Gothi Plascon (India) Ltd.,GOTHIPL,Consumer Durables
Gowra Leasing & Finance Ltd.,GOWRALE,Financial Services
GOYAL ALUMINIUMS LIMITED,GOYALALUM,Services
Goyal Associates Ltd.,GOYALASS,Financial Services
GP Petroleums Limited,GULFPETRO,"Oil, Gas & Consumable Fuels"
GPT Infraprojects limited,GPTINFRA,Construction
"Grand Foundry Ltd.,",GRANDFONRY,Capital Goods
Granules India Ltd.,GRANULES,Healthcare
Graphite India Ltd.,GRAPHITE,Capital Goods
"Grasim Industries Ltd.,",GRASIM,Construction Materials
Gratex Industries Ltd.,GRATEXI,Forest Materials
"Grauer & Weil (India) Ltd.,",GRAUWEIL,Chemicals
Graviss Hospitality Ltd,GRAVISSHO,Consumer Services
GRAVITA INDIA LIMITED,GRAVITA,Metals & Mining
Gravity (India) Ltd.,GRAVITY,Textiles
"Great Eastern Shipping Co. Ltd.,",GESHIP*,Services
Greaves Cotton Ltd.,GREAVESCOT,Capital Goods
Greencrest Financial Services Limited,GREENCREST,Services
Greenlam Industries Ltd,GRNLAMIND,Consumer Durables
Greenpanel Industries Limited,GREENPANEL,Consumer Durables
Greenply Industries Ltd,GREENPLY,Consumer Durables
Gretex Corporate Services Limited,GCSL,Financial Services
Grindwell Norton Ltd.,GRINDWELL,Capital Goods
GRM Overseas Ltd.,GRMOVER,Fast Moving Consumer Goods
Grovy India Limited,GROVY,Financial Services
GROWINGTON VENTURES INDIA LIMITED,GROWINGTON,Services
GRP Limited,GRPLTD,Capital Goods
GSB Finance Ltd.,GSBFIN,Financial Services
GSL Securities Ltd.,GSLSEC,Financial Services
GSS Infotech Ltd,GSS,Information Technology
GTL Infrastructure Limited,GTLINFRA,Telecommunication
GTL Ltd,GTL,Telecommunication
GTN Industries Limited,GTNINDS,Textiles
GTN Textiles Ltd. (formerly known as GTN Industries Ltd.),GTNTEX,Textiles
GTPL Hathway Limited,GTPL,"Media, Entertainment & Publication"
GTV Engineering Limited,GTV,Capital Goods
Gufic BioSciences Ltd.,GUFICBIO,Healthcare
"Gujarat Alkalis & Chemicals Ltd.,",GUJALKALI,Chemicals
Gujarat Ambuja Exports Ltd.,GAEL,Fast Moving Consumer Goods
Gujarat Apollo Industries Ltd.,GUJAPOLLO,Capital Goods
Gujarat Containers Ltd.,GUJCONT,Capital Goods
Gujarat Cotex Ltd,GUJCOTEX,Textiles
Gujarat Craft Industries Ltd.,GUJCRAFT,Capital Goods
Gujarat Credit Corporation Ltd.,GUJCRED,Financial Services
Gujarat Fluorochemicals Limited,FLUOROCHEM,Chemicals
Gujarat Gas Limited,GUJGAS,"Oil, Gas & Consumable Fuels"
Gujarat Hotels Ltd.,GUJHOTE,Consumer Services
Gujarat Hy-Spin Limited,GUJHYSPIN,Textiles
Gujarat Industries Power Co. Ltd,GIPCL,Power
Gujarat Inject (Kerala) Ltd.,GUJINJEC,Healthcare
Gujarat Intrux Limited,GUJINTRX,Capital Goods
"Gujarat Investa Ltd.,",GUJINV,Financial Services
"Gujarat Lease Financing Limited,",GLFL,Financial Services
Gujarat Metallic Coal & Coke Ltd,GMETCOAL,Services
Gujarat Mineral Development Corpora,GMDCLTD,Metals & Mining
Gujarat Narmada Valley Fert.Co.Ltd,GNFC,Chemicals
Gujarat Natural Resources Limited,GNRL,"Oil, Gas & Consumable Fuels"
Gujarat Petrosynthese Ltd.,GUJPETR,Chemicals
Gujarat Pipavav Port Limited,GPPL,Services
Gujarat Poly Electronics Limited,GUJARATPOLY,Capital Goods
"Gujarat Raffia Ind. Ltd.,",GUJRAFIA,Capital Goods
"Gujarat Sidhee Cement Limited.,",GSCLCEMENT,Construction Materials
